Step 0: {'cpu_percent': 3.1, 'memory_percent': 0.23591150056630755, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 44, 'read_bytes': 12456408, 'write_bytes': 51657, 'other_count': 7693, 'other_bytes': 486988}}
Step 1: {'cpu_percent': 5.1, 'memory_percent': 0.23592374108415978, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 56, 'read_bytes': 12456408, 'write_bytes': 102842, 'other_count': 7727, 'other_bytes': 487900}}
Step 2: {'cpu_percent': 13.2, 'memory_percent': 0.23593598160201204, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 68, 'read_bytes': 12456408, 'write_bytes': 154028, 'other_count': 7761, 'other_bytes': 488858}}
Step 3: {'cpu_percent': 4.2, 'memory_percent': 0.23593598160201204, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 80, 'read_bytes': 12456408, 'write_bytes': 205215, 'other_count': 7795, 'other_bytes': 489818}}
Step 4: {'cpu_percent': 11.4, 'memory_percent': 0.23593598160201204, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 92, 'read_bytes': 12456408, 'write_bytes': 256401, 'other_count': 7829, 'other_bytes': 490778}}
Step 5: {'cpu_percent': 3.0, 'memory_percent': 0.23593598160201204, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 104, 'read_bytes': 12456408, 'write_bytes': 307588, 'other_count': 7863, 'other_bytes': 491738}}
Step 6: {'cpu_percent': 11.0, 'memory_percent': 0.23593598160201204, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 116, 'read_bytes': 12456408, 'write_bytes': 358775, 'other_count': 7897, 'other_bytes': 492698}}
Step 7: {'cpu_percent': 6.2, 'memory_percent': 0.23594822211986427, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 128, 'read_bytes': 12456408, 'write_bytes': 409963, 'other_count': 7931, 'other_bytes': 493656}}
Step 8: {'cpu_percent': 4.2, 'memory_percent': 0.23596046263771653, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 140, 'read_bytes': 12456408, 'write_bytes': 461150, 'other_count': 7965, 'other_bytes': 494616}}
Step 9: {'cpu_percent': 4.2, 'memory_percent': 0.23596046263771653, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 152, 'read_bytes': 12456408, 'write_bytes': 512337, 'other_count': 7999, 'other_bytes': 495578}}
Step 10: {'cpu_percent': 1.8, 'memory_percent': 0.2359727031555688, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 164, 'read_bytes': 12456408, 'write_bytes': 563524, 'other_count': 8033, 'other_bytes': 496542}}
Step 11: {'cpu_percent': 6.2, 'memory_percent': 0.2359727031555688, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 176, 'read_bytes': 12456408, 'write_bytes': 614711, 'other_count': 8067, 'other_bytes': 497508}}
Step 12: {'cpu_percent': 5.1, 'memory_percent': 0.23598494367342102, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 188, 'read_bytes': 12456408, 'write_bytes': 665898, 'other_count': 8101, 'other_bytes': 498472}}
